,AEM CN Equity,AQN CN Equity,ATD CN Equity,BMO CN Equity,BNS CN Equity,ABX CN Equity,BCE CN Equity,BAM CN Equity,BN CN Equity,BIP-U CN Equity,CAE CN Equity,CCO CN Equity,CAR-U CN Equity,CM CN Equity,CNR CN Equity,CNQ CN Equity,CP CN Equity,CTC/A CN Equity,CCL/B CN Equity,CVE CN Equity,GIB/A CN Equity,CSU CN Equity,DOL CN Equity,EMA CN Equity,ENB CN Equity,FM CN Equity,FSV CN Equity,FTS CN Equity,FNV CN Equity,WN CN Equity,GIL CN Equity,H CN Equity,IMO CN Equity,IFC CN Equity,K CN Equity,L CN Equity,MG CN Equity,MFC CN Equity,MRU CN Equity,NA CN Equity,NTR CN Equity,OTEX CN Equity,PPL CN Equity,POW CN Equity,QSR CN Equity,RCI/B CN Equity,RY CN Equity,SAP CN Equity,SHOP CN Equity,SLF CN Equity,SU CN Equity,TRP CN Equity,TECK/B CN Equity,T CN Equity,TRI CN Equity,TD CN Equity,TOU CN Equity,WCN CN Equity,WPM CN Equity,WSP CN Equity
2015-05-19,39.77,9.75,24.395,77.84,65.27,15.26,53.37,,23.4025,22.0662,15.33,19.71,27.84,47.655,74.58,18.6341,42.554,133.55,29.956,20.5,55.16,484.92,23.68,41.62,61.5,17.45,,38.67,65.06,103.38,39.89,,48.66,89.9,3.0,51.3494,68.19,23.12,35.79,49.39,,29.46,40.28,32.97,50.49,42.58,80.09,34.71,,41.0,36.13,49.3568,15.92,20.8,56.9485,56.09,38.7,48.3489,24.05,44.65
2015-05-20,40.0,9.79,23.855,77.61,64.44,15.14,53.44,,23.1813,21.9696,15.27,19.24,27.74,47.26,73.74,18.7279,42.39,131.87,29.87,20.65,52.95,498.079,23.82,41.63,61.02,17.26,,38.49,65.78,102.32,39.33,,49.16,89.8,2.98,51.1406,68.19,22.94,35.23,49.29,,29.785,40.24,32.49,50.1,42.79,79.59,34.37,,40.67,36.41,48.9195,15.88,20.675,56.5257,55.88,38.5,48.0028,23.91,43.99
2015-05-21,39.9,9.83,24.08,78.4,64.98,15.19,53.58,,23.3761,21.8971,15.35,19.04,27.55,47.835,74.49,19.1671,43.17,133.09,29.762,20.87,53.11,492.23,23.35,41.52,62.66,16.26,,38.45,64.37,103.27,39.0,,50.5,88.4,2.98,51.2129,70.11,23.1,35.55,50.01,,25.9,41.14,32.75,49.42,43.4,80.37,34.81,3.125,41.0,36.85,49.5208,15.63,20.925,56.7314,56.13,39.44,48.0305,23.92,44.11
2015-05-22,40.04,9.73,24.075,78.29,64.61,15.11,53.76,,23.2392,22.2111,15.24,18.79,27.56,47.745,74.4,19.0536,43.554,131.63,29.59,21.33,53.28,492.718,23.1467,41.31,62.0,16.45,,38.16,64.71,102.94,39.3,,50.43,88.36,2.95,51.1807,71.11,22.92,35.18,49.67,,26.45,41.01,32.81,48.97,43.53,80.4,34.59,3.494,40.44,37.13,49.211,15.54,21.045,56.88,56.19,39.05,48.252,23.82,44.0
2015-05-25,39.79,9.76,24.055,78.3,64.64,15.12,54.14,,23.4604,22.4526,15.32,19.04,27.5,47.715,74.9,18.9697,43.49,132.01,29.534,20.95,53.15,494.248,23.4967,41.54,60.71,16.35,,38.21,64.61,102.63,39.1,,49.77,88.5,2.95,51.4458,70.37,22.94,35.1,49.67,,26.21,40.56,32.78,49.22,43.6,80.31,34.55,3.726,40.33,36.95,48.9924,15.43,21.15,56.6857,56.39,38.98,48.2243,23.57,43.96
2015-05-26,38.61,9.47,23.68,77.65,64.21,14.56,54.06,,23.4446,22.1588,15.17,18.76,27.19,47.23,74.18,18.7279,43.206,131.23,28.948,20.69,52.88,503.206,23.3267,41.2,60.52,16.16,,37.36,63.79,102.07,38.92,,49.03,87.62,2.85,51.5021,70.83,22.77,34.77,49.34,,26.575,40.57,32.48,48.25,43.45,79.57,33.82,3.692,39.82,36.21,49.1108,14.74,21.175,56.4915,55.69,38.21,48.1274,23.34,42.5
2015-05-27,39.08,9.6,24.095,77.9,64.45,14.58,54.48,,23.4867,21.9374,15.06,18.7,27.34,47.51,75.24,18.7229,43.554,131.01,29.564,20.47,52.77,498.127,23.4967,41.05,60.35,16.33,28.26,37.56,64.11,102.87,39.7,,48.72,87.77,2.85,51.8154,72.2,22.86,35.07,49.36,,26.44,40.59,32.57,48.19,43.18,79.92,34.07,3.45,40.07,36.32,49.6392,14.94,21.23,56.9599,55.98,38.29,48.4458,23.34,43.06
2015-05-28,39.91,9.69,24.5,77.11,64.57,14.92,54.67,,23.5341,21.7482,14.97,18.51,27.52,47.815,73.95,18.871,41.76,131.5,29.378,20.52,52.65,502.904,23.43,41.41,60.49,16.23,,38.11,64.43,103.12,39.6,,48.77,88.53,2.88,51.5181,71.98,23.02,34.88,49.32,,26.425,40.25,32.45,47.75,43.14,80.05,34.34,3.4,40.0,36.5,49.7394,15.09,21.27,57.2456,55.37,39.02,47.9889,23.58,42.7
2015-05-29,40.02,9.76,24.34,75.91,65.4,14.72,54.5,,23.1602,21.6717,14.85,18.64,27.48,47.45,73.77,18.9401,40.984,128.95,28.906,20.52,52.68,496.129,22.96,41.25,59.48,16.08,,37.98,63.96,101.07,39.39,,48.78,89.19,2.94,50.8112,71.47,22.83,34.37,48.51,,26.485,40.09,32.19,48.16,42.79,79.07,33.83,3.352,39.7,36.35,49.1017,14.47,21.17,56.7428,54.15,40.19,48.0997,23.75,42.73
2015-06-01,40.23,9.65,24.46,75.95,65.88,14.82,54.93,,23.3709,21.7844,14.92,18.92,27.63,47.39,73.88,18.792,41.936,131.14,29.45,20.62,52.87,500.71,23.7767,42.09,60.48,16.29,,38.3,64.13,101.65,39.86,,49.46,89.31,2.97,50.6505,73.87,22.94,33.96,48.69,,26.45,40.12,32.33,48.17,42.91,78.83,33.85,3.424,39.87,36.19,48.7738,14.44,21.28,57.2799,54.2,40.76,48.4181,23.93,42.65
2015-06-02,40.5,9.56,24.7,76.18,66.17,14.88,54.66,,23.334,21.7522,14.86,19.28,27.52,47.47,73.55,18.9943,41.516,130.29,29.53,20.97,52.68,506.071,23.7867,41.98,60.6,17.1,33.51,37.86,64.24,101.44,40.04,,49.43,89.92,2.97,50.6666,72.91,23.01,33.98,49.07,,26.245,40.66,32.59,48.11,43.21,79.13,33.83,3.313,39.92,36.14,48.792,15.26,21.235,56.7543,54.36,39.91,46.369,24.02,43.25
2015-06-03,39.67,9.58,25.36,76.45,66.73,14.94,55.32,,23.1602,21.6717,14.9,19.2,27.3,47.78,73.66,18.7377,41.6,131.94,29.374,20.58,53.57,512.563,24.1167,41.57,60.35,17.97,34.41,37.57,63.74,102.86,41.13,,49.32,90.01,3.02,51.494,73.23,23.54,34.42,49.59,,26.42,40.58,32.96,48.34,43.25,80.27,34.16,3.419,40.7,36.3,48.1179,15.01,21.33,57.0742,54.9,39.36,47.4489,23.72,43.6
2015-06-04,39.66,9.25,25.26,75.45,66.33,14.63,55.21,,22.8021,21.6314,14.86,19.26,27.24,47.515,73.9,18.6094,41.958,132.27,29.878,20.25,53.18,520.497,23.8667,40.88,59.19,17.33,35.23,36.99,63.11,102.02,40.71,,49.24,89.1,3.05,51.3253,72.89,23.55,34.85,48.95,,26.35,40.08,32.66,48.31,43.2,80.0,32.55,3.345,40.77,36.13,47.1613,14.58,21.305,56.8114,54.43,39.11,47.089,23.6,43.09
2015-06-05,38.4,9.04,25.335,75.6,66.27,14.24,54.84,,22.4862,21.398,15.13,19.15,26.89,47.33,73.51,18.5107,42.12,131.54,29.44,20.41,52.66,514.649,23.7667,40.3,58.37,17.29,34.76,36.31,62.19,102.21,40.6,,48.78,89.12,3.05,51.1406,72.1,23.67,34.67,49.23,,26.38,39.87,32.28,48.9,42.42,79.58,31.71,3.398,41.15,36.01,46.9882,14.46,21.14,56.0801,54.35,39.54,47.2274,23.23,42.69
2015-06-08,38.93,9.03,25.2,74.29,65.25,14.2,54.4,,22.3282,21.4302,15.01,18.77,26.9,46.68,71.92,18.0419,41.024,131.98,28.868,19.7,51.12,517.31,23.9067,39.75,56.28,16.93,34.63,35.44,61.49,100.92,39.98,,48.01,88.47,3.14,50.9719,71.66,23.42,34.53,48.61,,26.365,38.99,32.17,47.26,42.32,78.63,31.3,3.364,40.94,35.06,46.0773,14.08,20.79,55.0746,53.51,38.26,46.8674,23.11,41.34
