,2025-05-16
AEM CN Equity,74890.9542
AQN CN Equity,5996.108
ATD CN Equity,65454.3665
BMO CN Equity,104083.4462
BNS CN Equity,89642.1877
ABX CN Equity,42883.284
BCE CN Equity,27793.0118
BAM CN Equity,134615.1103
BN CN Equity,137555.7027
BIP-U CN Equity,29999.0959
CAE CN Equity,11369.4113
CCO CN Equity,31220.9294
CAR-U CN Equity,7206.9254
CM CN Equity,87160.7183
CNR CN Equity,94895.5327
CNQ CN Equity,89990.2169
CP CN Equity,106071.991
CTC/A CN Equity,9376.38
CCL/B CN Equity,13714.9432
CVE CN Equity,34956.867
GIB/A CN Equity,34096.571
CSU CN Equity,107375.1514
DOL CN Equity,47023.1339
EMA CN Equity,17950.8015
ENB CN Equity,136769.2484
FM CN Equity,16292.0458
FSV CN Equity,11467.9292
FTS CN Equity,33057.3192
FNV CN Equity,42877.6341
WN CN Equity,34095.5302
GIL CN Equity,10624.1002
H CN Equity,29768.1475
IMO CN Equity,51596.7974
IFC CN Equity,53363.723
K CN Equity,23612.2202
L CN Equity,65663.6603
MG CN Equity,14447.3966
MFC CN Equity,76929.1523
MRU CN Equity,22728.6994
NA CN Equity,50309.9994
NTR CN Equity,39514.3897
OTEX CN Equity,10214.6254
PPL CN Equity,30479.9582
POW CN Equity,32126.6664
QSR CN Equity,44862.5345
RCI/B CN Equity,19688.1803
RY CN Equity,248770.9681
SAP CN Equity,10896.5095
SHOP CN Equity,200977.2706
SLF CN Equity,49908.5648
SU CN Equity,61653.246
TRP CN Equity,72441.0969
TECK/B CN Equity,24951.3071
T CN Equity,33402.3625
TRI CN Equity,120511.1461
TD CN Equity,155932.5372
TOU CN Equity,23512.5632
WCN CN Equity,69326.909
WPM CN Equity,49806.9674
WSP CN Equity,35582.7502
